prey,predator,iteration,,prey,predator,,,prey,predator,iteration,,prey,predator,iteration,,prey,predator,,,prey,predator,,,prey,predator,,,prey,predator,,,prey,predator,iteration,,prey,predator,iteration
3672,390,73,,2508,614,,,2992,456,73,,2317,658,73,,2599,427,,,3666,378,,,4831,203,,,4831,203,,,3140,368,73,,4012,87,73
3634,396,74,,2490,615,,,2893,485,74,,2275,674,74,,2610,439,,,3646,381,,,4835,207,,,4835,207,,,3154,385,74,,4011,87,74
3566,400,75,,2394,626,,,2838,497,75,,2204,688,75,,2595,461,,,3528,393,,,4800,214,,,4800,214,,,3155,416,75,,3966,87,75
3492,428,76,,2347,624,,,2797,514,76,,2132,705,76,,2607,485,,,3376,411,,,4768,224,,,4768,224,,,3139,429,76,,3996,87,76
3485,432,77,,2305,678,,,2722,536,77,,2048,708,77,,2659,497,,,3325,441,,,4815,229,,,4815,229,,,3142,446,77,,3947,87,77
3461,463,78,,2248,671,,,2678,559,78,,1998,725,78,,2631,519,,,3283,450,,,4710,237,,,4710,237,,,3133,458,78,,3897,100,78
3484,473,79,,2170,677,,,2590,592,79,,1941,733,79,,2640,519,,,3228,475,,,4689,260,,,4689,260,,,3160,479,79,,3876,99,79
3490,490,80,,2137,661,,,2517,594,80,,1897,732,80,,2625,525,,,3177,500,,,4686,280,,,4686,280,,,3142,514,80,,3826,98,80
3489,499,81,,2060,651,,,2486,603,81,,1786,751,81,,2601,557,,,3147,508,,,4692,286,,,4692,286,,,3150,532,81,,3806,97,81
3431,514,82,,2017,665,,,2442,611,82,,1727,722,82,,2560,588,,,3076,542,,,4607,296,,,4607,296,,,3071,548,82,,3833,101,82
3380,531,83,,1932,670,,,2402,631,83,,1660,736,83,,2537,573,,,2982,561,,,4565,312,,,4565,312,,,3002,569,83,,3793,98,83
3338,539,84,,1863,676,,,2356,635,84,,1615,743,84,,2514,568,,,2878,594,,,4458,326,,,4458,326,,,2999,582,84,,3714,101,84
3340,560,85,,1809,690,,,2278,641,85,,1573,753,85,,2470,598,,,2786,596,,,4357,346,,,4357,346,,,3017,575,85,,3590,88,85
3278,559,86,,1784,693,,,2248,636,86,,1502,744,86,,2448,601,,,2716,625,,,4350,362,,,4350,362,,,2966,589,86,,3512,88,86
3197,583,87,,1736,675,,,2196,680,87,,1416,736,87,,2436,598,,,2631,637,,,4356,371,,,4356,371,,,2879,577,87,,3375,88,87
3137,605,88,,1670,682,,,2149,729,88,,1358,728,88,,2381,625,,,2537,665,,,4322,382,,,4322,382,,,2859,583,88,,3262,88,88
3050,601,89,,1646,712,,,2088,760,89,,1294,729,89,,2310,630,,,2476,675,,,4328,405,,,4328,405,,,2817,600,89,,3158,88,89
2936,599,90,,1644,714,,,2043,793,90,,1321,736,90,,2226,659,,,2363,692,,,4301,422,,,4301,422,,,2775,604,90,,3082,88,90
2849,648,91,,1615,708,,,2034,810,91,,1280,726,91,,2211,666,,,2307,713,,,4275,444,,,4275,444,,,2699,611,91,,3028,88,91
2809,673,92,,1581,724,,,2013,796,92,,1275,712,92,,2159,659,,,2242,767,,,4187,473,,,4187,473,,,2637,610,92,,2941,88,92
2776,705,93,,1497,732,,,1980,810,93,,1224,706,93,,2073,668,,,2159,808,,,4070,485,,,4070,485,,,2555,619,93,,2897,88,93
2708,698,94,,1446,753,,,1901,811,94,,1206,696,94,,2003,691,,,2088,858,,,4062,490,,,4062,490,,,2466,617,94,,2830,88,94
2620,718,95,,1434,723,,,1851,833,95,,1194,686,95,,1939,691,,,2063,874,,,3993,494,,,3993,494,,,2380,626,95,,2747,101,95
2479,744,96,,1415,743,,,1821,835,96,,1160,686,96,,1867,686,,,1991,904,,,3910,498,,,3910,498,,,2317,649,96,,2687,100,96
2387,757,97,,1406,743,,,1779,824,97,,1143,655,97,,1798,726,,,1894,942,,,3828,519,,,3828,519,,,2284,645,97,,2570,99,97
2312,758,98,,1370,749,,,1731,858,98,,1096,626,98,,1741,767,,,1786,957,,,3734,536,,,3734,536,,,2230,638,98,,2478,98,98
2229,745,99,,1312,780,,,1721,879,99,,1083,594,99,,1660,791,,,1691,1007,,,3703,524,,,3703,524,,,2207,641,99,,2407,102,99
2161,754,100,,1258,801,,,1674,866,100,,1063,603,100,,1594,792,,,1613,1013,,,3625,529,,,3625,529,,,2108,649,100,,2392,99,100
2065,751,101,,1221,798,,,1615,878,101,,1045,583,101,,1547,807,,,1492,1047,,,3508,558,,,3508,558,,,2016,674,101,,2315,102,101
2032,786,102,,1165,796,,,1556,873,102,,1031,566,102,,1476,839,,,1380,1063,,,3389,574,,,3389,574,,,1994,696,102,,2230,89,102
1922,815,103,,1096,798,,,1501,882,103,,1009,547,103,,1415,835,,,1272,1079,,,3311,601,,,3311,601,,,1980,725,103,,2188,89,103
1838,846,104,,1058,787,,,1494,895,104,,995,551,104,,1409,842,,,1237,1085,,,3241,606,,,3241,606,,,1925,742,104,,2118,89,104
1815,869,105,,1001,787,,,1440,902,105,,946,538,105,,1376,865,,,1196,1074,,,3147,619,,,3147,619,,,1887,760,105,,2063,89,105
1750,882,106,,917,790,,,1409,905,106,,898,524,106,,1315,893,,,1135,1069,,,3068,615,,,3068,615,,,1831,778,106,,1934,89,106
1698,900,107,,867,762,,,1334,893,107,,852,520,107,,1237,909,,,1051,1052,,,2988,637,,,2988,637,,,1771,763,107,,1833,89,107
1650,931,108,,798,766,,,1282,886,108,,848,517,108,,1128,897,,,995,1052,,,2984,621,,,2984,621,,,1702,763,108,,1702,89,108
1627,949,109,,758,754,,,1242,886,109,,843,517,109,,1075,892,,,931,1043,,,2971,631,,,2971,631,,,1674,757,109,,1618,89,109
1559,951,110,,713,732,,,1209,897,110,,835,515,110,,1043,898,,,855,1018,,,2860,627,,,2860,627,,,1619,764,110,,1529,89,110
1541,952,111,,691,736,,,1195,890,111,,803,510,111,,987,943,,,786,985,,,2741,652,,,2741,652,,,1619,747,111,,1421,89,111
1519,963,112,,639,723,,,1151,893,112,,783,487,112,,956,937,,,718,962,,,2664,654,,,2664,654,,,1591,750,112,,1283,102,112
1459,956,113,,614,741,,,1109,888,113,,755,493,113,,887,946,,,658,953,,,2580,650,,,2580,650,,,1578,744,113,,1233,101,113
1441,922,114,,588,731,,,1076,898,114,,745,472,114,,813,927,,,637,931,,,2502,658,,,2502,658,,,1585,732,114,,1120,100,114
